Username,Category,Followers,Followees,Posts
anisaartistry,beauty,64644,289,391
farahpromakeup,beauty,457281,1112,1041
ana_b_artistry,beauty,32109,784,815
carmenvalladolid_,beauty,3274,503,478
amypigeonmua,beauty,17975,5587,2087
cakedbyjess,beauty,5607,3039,265
alexandralee1016,beauty,27847,737,882
erikamariemua,beauty,104392,865,626
catanoglam,beauty,12227,1393,791
bexlecter,beauty,37961,796,2101
beautiception,beauty,25925,648,363
ashleyhawmakeup,beauty,331912,462,425
angelabright,beauty,39177,108,1039
beauty_by_elley,beauty,132124,118,960
beautybygracexoxo,beauty,10119,2083,638
andeedoll,beauty,17564,946,853
briannabissonmakeup,beauty,11761,1228,1297
christinahortet,beauty,3354,1818,1238
emilie_bruun,beauty,4268,942,1002
adila_makeup,beauty,13424,6690,545
chuaahh,beauty,16561,1160,1496
ericabmccleskey,beauty,1300,2189,592
daniellemarie.mua,beauty,9698,3321,320
aaqshah,beauty,169669,374,453
emilianummelin,beauty,45998,711,464
domlanae,beauty,1529,987,379
chxrming,beauty,50630,7497,683
ashleykaylamakeup,beauty,124897,2350,821
andrearenee00,beauty,20668,826,835
denitslava,beauty,1102359,703,585
alexingamua,beauty,21180,7291,625
brushinarushbyjr,beauty,5894,1597,999
_bubsbee,beauty,54819,558,447
anubismakeup,beauty,190965,1189,1080
cosmobyhaley,beauty,955823,628,1025
beatyafaceduo,beauty,7965,2119,634
flawdecaybeauty,beauty,1648,701,386
ashghotcakess,beauty,67062,1006,611
courteney_mua,beauty,19700,493,575
briciaemilyn,beauty,246297,240,1146
aura_glitz,beauty,24700,642,740
ellasdaily,beauty,23603,1389,426
ckck_banban,beauty,15003,234,1090
alessaberry,beauty,18575,1916,465
beautybyjulia,beauty,93026,2254,3049
abyxo,beauty,25195,860,459
dailybaileyb,beauty,13870,1814,1574
araako,beauty,16419,828,715
extensionbarla,beauty,14832,1964,824
dollface_glamour,beauty,57932,7497,3562
acoloradohairstylist,beauty,1913,945,386
ellycatt,beauty,71339,1600,646
basic_gaia,beauty,61705,250,949
carlayneclover,beauty,43457,78,330
emily_snips,beauty,29797,698,3812
casslevinehair,beauty,1175,991,417
andriellyneri,beauty,29292,363,696
amieyoungmua,beauty,8923,6700,615
braided_to_infinity,beauty,47386,395,703
bellacobian,beauty,30691,1003,338
bonnys_wonderland,beauty,1753,776,459
ashleyswagnerxo,beauty,264208,542,1444
amythemermaidx,beauty,318764,228,948
